english,chinese
BQ - BearerDocumentCreationandRegistrationTask,不记名文件创建和注册任务
BQ - CustomerPaymentTask,客户付款任务
CR - BankGuaranteeTransaction,银行担保交易
BQ - BankGuaranteeCollectionsTask,银行担保收款任务
BQ - BankGuaranteeDefinitionandPricingTask,银行担保定义和定价任务
BQ - BankGuaranteeIssuanceandBookingTask,银行担保发行和预订任务
BQ - BankGuaranteePayoutTask,银行担保支付任务
BQ - CustomerCollateralAllocationTask,客户抵押品分配任务
BQ - CustomerPaymentTask,客户付款任务
CR - CashDistributionProcedure,现金分配程序
BQ - DistributionPlanning,分配计划
BQ - InventoryProvisioning,库存供应
BQ - DistributionVehicleAdministration,配送车辆管理
BQ - InventoryDistributionOversight,库存分配监督
CR - BranchCashAllocation,分行现金分配
BQ - InventoryAllocation,库存分配
CR - BranchLocationManagementPlan,分行位置管理计划
BQ - CustomerLiaison,客户联络
BQ - ProductandServicePlanning,产品和服务规划
BQ - StaffandLocationPlanning,员工和位置规划
BQ - Troubleshooting,故障排除
CR - BranchLocationAdministrativePlan,分行位置管理计划
CR - BrandManagementPlan,品牌管理计划
BQ - BrandAdvice,品牌建议
BQ - Troubleshooting,故障排除
CR - BrokeredProductManagementPlan,经纪产品管理计划
BQ - ProductionPerformanceAssessmentDuty,生产绩效评估职责
BQ - ProductionTroubleshootingDuty,生产故障排除职责
BQ - ServiceLevelAgreementOversightDuty,服务水平协议监督职责
CR - BusinessDevelopmentStrategy,业务发展战略
BQ - Initiative,倡议
CR - BusinessUnitManagementPlan,业务单元管理计划
BQ - Performance,绩效
BQ - Troubleshooting,故障排除
CR - CreditCardAuthorizationAssessment,信用卡授权评估
BQ - DeviceCheck,设备检查
BQ - Authentication,身份认证
BQ - CreditCheck,信用评估
BQ - FraudCheck,欺诈检测
BQ - StandIn,备用方案
CR - CreditChargeCardFinancialCaptureTransaction,信用卡金融捕获交易
BQ - TransactionConsolidation,交易合并
BQ - TransactionAuthorization,交易授权
BQ - TransactionCapture,交易捕获
BQ - TransactionReversal,交易冲销
CR - CardCaseProcedure,卡片操作程序
BQ - Consolidation,合并
BQ - Chargeback,退单
BQ - Arbitration,仲裁
BQ - Resolution,解决方案
CR - CardClearingProcedure,卡片清算程序
BQ - Capture,捕获
BQ - Addressing,地址处理
BQ - FXConversion,外汇兑换
BQ - Fees,费用
BQ - Matching,匹配
BQ - Reconciliation,对账
BQ - Routing,路由
CR - CardCollectionsProcedure,卡片收款程序
BQ - Assignment,分配
BQ - PaymentTerms,付款条款
BQ - Payment,付款
BQ - Resolution,解决方案
CR - CardFinancialSettlementProcedure,卡片金融结算程序
BQ - Consolidation,合并
BQ - Processing,处理
BQ - Instruction,指令
BQ - Payment,付款
CR - CardNetworkParticipantFacility,卡片网络参与者设施
BQ - ParticipantAccount,参与者账户
BQ - ParticipantService,参与者服务
CR - CardPOSDeviceAllocation,卡片POS设备分配
BQ - Allocation,分配
CR - CardPOSNetworkOperatingSession,卡片POS网络操作会话
BQ - Capture,捕获
BQ - Authorization,授权
BQ - Batch,批处理
CR - CardTransactionSwitchOperatingSession,卡交易切换操作会话
BQ - TransactionCapture,交易捕获
BQ - TransactionRouting,交易路由
BQ - CardTransaction,卡交易
BQ - TransactionBatch,交易批处理
BQ - CardAuthentication,卡身份认证
BQ - TransactionAuthorization,交易授权
CR - CustomerCaseRootCauseAnalysis,客户案例根本原因分析
BQ - CreditandFraudRelatedIssueAnalysis,与信用和欺诈相关的问题分析
BQ - OperationsandServicingIssueAnalysis,运营和服务问题分析
BQ - ProductandServiceIssueAnalysis,产品和服务问题分析
CR - AccountBalanceSweepingFacility,账户余额清零设施
BQ - CashConcentrationServiceConfigurationFulfillment,现金集中服务配置实现
BQ - CashPositionMonitoringandTransferFulfillment,现金头寸监控和转移实现
CR - CashManagementAndAccountServicesFacility,现金管理和账户服务设施
BQ - Interest,利息
BQ - ServiceFees,服务费用
BQ - AccountLien,账户留置权
BQ - AccountSweep,账户清零
BQ - DepositsandWithdrawals,存款和取款
BQ - Payments,付款
BQ - IssuedDevice,已发行设备
BQ - PositivePay,正面支付
CR - CentralCashAllocation,中央现金拨款
BQ - ProjectionandAllocation,预测和拨款
BQ - TrackingandAllocation,跟踪和拨款
CR - ChannelActivityAnalysis,渠道活动分析
BQ - CustomerFraud,客户欺诈
BQ - MerchantFraud,商家欺诈
BQ - CustomerBehavior,客户行为
BQ - MerchantBehavior,商家行为
BQ - Bot,机器人
BQ - DeviceError,设备错误
CR - ChannelActivityLog,渠道活动日志
BQ - Event,事件
CR - LockBoxFacility,锁箱设施
BQ - CheckClearingandSettlementFulfillment,支票清算和结算实现
BQ - LockBoxReportingandIssueResolutionFulfillment,锁箱报告和问题解决实现
BQ - PaperCheckProcessingFulfillment,纸质支票处理实现
CR - ChequeProcessingOperatingSession,支票处理操作会话
BQ - FinancialTransactionInitiation,金融交易启动
BQ - ChequeExceptionHandling,支票异常处理
BQ - ChequeExtraction,支票提取
CR - CollateralAssetAllocation,抵押资产分配
BQ - Allocation,分配
CR - CollateralAssetAdministrativePlan,抵押资产行政计划
BQ - Valuation,估值
BQ - Maintenance,维护
CR - CollateralAssetLiquidationProcedure,抵押资产清算程序
BQ - CollateralLiquidation,抵押品清算
BQ - CollateralValuation,抵押品估值
BQ - DebtFactoring：应收账款保理
BQ - CollectionsAssessment：催收评估
BQ - CollectionsAccountUpdate：催收账户更新
CR - EmployeeCommissionAgreement：员工佣金协议
BQ - CommissionTerms：佣金条款
CR - CommissionTransaction：佣金交易
BQ - Calculation：计算
BQ - Check：检查
BQ - Payment：支付
CR - CompetitorAnalysis：竞争对手分析
CR - ComplianceReportingAdministrativePlan：合规报告行政计划
BQ - ComplianceAssessment：合规评估
BQ - Consolidation：合并
BQ - Remediation：纠正措施
CR - ConsumerAdviceFacility：消费者建议设施
BQ - FinancialPlanning：理财规划
BQ - TaxOptimization：税务优化
BQ - ProductGuidance：产品指导
BQ - ServiceFees：服务费用
CR - ConsumerSecuritiesOrderTransaction：消费者证券订单交易
BQ - Quote：报价
BQ - Compliance：合规性
BQ - FundingCheck：资金核查
BQ - OrderInitiation：订单启动
CR - ConsumerLoanFacility：消费者贷款设施
BQ - Interest：利息
BQ - ServiceFees：服务费用
BQ - Disbursement：支付
BQ - Maintenance：维护
BQ - Withdrawal：提款
BQ - Repayment：偿还
BQ - Restructuring：重组
CR - ContactCenterManagementPlan：联系中心管理计划
BQ - Performance：绩效
BQ - Troubleshooting：故障排除
CR - ContactCenterAdministrativePlan：联系中心行政计划
BQ - Assignment：指派
BQ - PeakLoad：峰值负载
BQ - Troubleshooting：故障排除
CR - CustomerContactOperatingSession：客户联系操作会话
BQ - Authentication：身份验证
BQ - Routing：路由
BQ - Session：会话
BQ - History：历史记录
CR - CustomerServicingResourceAllocation：客户服务资源分配
BQ - Allocation：分配
CR - SupplierAgreement：供应商协议
BQ - LegalTerm：法律条款
BQ - PolicyTerm：政策条款
BQ - RegulatoryTerm：监管条款
CR - CorporateActionProcedure：公司行动程序
BQ - SecurityDividendPaymentWorkstep：证券分红支付工作步骤
BQ - SecurityMergersandAcquisitionActionWorkstep：证券并购行动工作步骤
BQ - SecurityRightsIssueActionWorkstep：证券权益发行行动工作步骤
BQ - SecuritySpin-OffActionWorkstep：证券分拆行动工作步骤
BQ - StockSplitorReversalActionWorkstep：股票分割或撤回行动工作步骤
CR - CorporateCurrentAccountFacility：企业活期账户设施
BQ - Interest：利息
BQ - ServiceFees：服务费用
BQ - AccountLien：账户留置权
BQ - AccountSweep：账户清零
BQ - DepositsandWithdrawals：存取款
BQ - Payments：付款
BQ - IssuedDevice：已发行设备
CR - CorporateFinanceServicesAdvice：企业融资服务建议
BQ - CapitalStructuringTopic：资本结构主题
BQ - StrategicFundingTopic：战略融资主题
BQ - TacticalFundingTopic：战术融资主题
BQ - TaxOptimizationTopic：税务优化主题
CR - CorporateLeaseFacility：企业租赁设施
BQ - Administer：管理
BQ - Fulfill：履行
CR - CorporateLoanFacility：企业贷款设施
BQ - Interest：利息
BQ - ServiceFees：服务费用
BQ - Disbursement：支付
BQ - Maintenance：维护
BQ - Withdrawal：提款
BQ - Repayment：偿还
BQ - Restructuring：重组
CR - EmployeePaymentServicesFacility：员工支付服务设施
BQ - CorporatePayrollPaymentsFulfillment：企业工资支付履行
BQ - EmployeePayrollDetailsMaintenanceFulfillment：员工工资细节维护履行
BQ - ProductionServiceReportingFulfillment：生产服务报告履行
CR - CorporateTaxAdvisoryFacility：企业税务咨询设施
BQ - TaxOptimization：税务优化
BQ - ServiceFees：服务费用
CR - CorporateTreasuryManagementPlan：企业财务管理计划
BQ - Liquidity：流动性
BQ - TacticalFunding：战术融资
BQ - StrategicFunding：战略融资
BQ - Securitization：证券化
BQ - BankRates：银行利率
CR - CorporateTrustServicesFacility：企业信托服务设施
BQ - CorporateDebtIssueOversightFulfillment：企业债务发行监督履行
BQ - DebtTrusteeFulfillment：债务受托人履行
BQ - EscrowAccountFulfillment：第三方托管账户履行
BQ - TrustAssetMaintenanceandManagementFulfillment：信托资产维护和管理履行
BQ - TrustCourtAdministrationFulfillment：信托法院管理履行
BQ - TrustEstate_InheritanceandIncomeTaxFulfillment：信托遗产、继承和所得税履行
BQ - TrustTaxandExpenseFulfillment：信托税务和费用履行
CR - CorrespondenceOperatingSession：通信操作会话
BQ - Outbound：外发
BQ - OutboundWithResponse：带响应的外发
BQ - Inbound：内部接收
BQ - BlockMailing：邮件阻挡
CR - CorrespondentBankDirectoryEntry：对应银行目录条目
CR - CorrespondentBankOperatingSession：对应银行操作会话
BQ - InboundPayments：内部接收付款
BQ - OutboundPayments：外发付款
BQ - ClearingandSettlement：清算和结算
BQ - Reconciliation：调节
CR - CorrepondentBankRelationshipManagementPlan：对应银行关系管理计划
BQ - IncidentTroubleshootingOversightDuty：事件故障排除监督职责
BQ - RelationshipDevelopmentDuty：关系发展职责
BQ - RelationshipReciprocityAssessmentDuty：关系互惠评估职责
CR - CounterpartyDirectoryEntry：交易对手目录条目
BQ - CounterpartyEntityReferenceproperty：交易对手实体参考属性
BQ - CounterpartyPermittedTransactionproperty：交易对手允许的交易属性
CR - CreditCardFacility：信用卡设施
BQ - Interest：利息
BQ - Fees：费用
BQ - Billing：账单
BQ - Repayment：偿还
BQ - CardTransaction：卡交易
BQ - IssuedDevice：已发行设备
BQ - CreditPlan：信用计划
CR - CreditCardPositionLog：信用卡头寸日志
BQ - CardTransactionEvent：卡交易事件
CR - CreditLineFacility：信用额度设施
BQ - ServiceFees：服务费用
BQ - Maintenance：维护
BQ - Restructuring：重组
CR - CreditPricingAssessment：信贷定价评估
CR - CreditRiskModelSpecification：信贷风险模型规范
BQ - FunctionalRequirements：功能要求
BQ - Production：生产
BQ - Testing：测试
CR - TradingCreditPositionMeasurement：交易信用头寸测量
BQ - TradingCounterpartyCreditLimitIndicator：交易对手信用限额指示器
CR - CurrencyExchangeTransaction：货币兑换交易
BQ - FXTransactionCapture：外汇交易捕捉
BQ - DocumentHandling：文档处理
BQ - FXTransactionPricing：外汇交易定价
CR - CurrentAccountFacility：活期账户设施
BQ - Interest：利息
BQ - ServiceFees：服务费用
BQ - AccountLien：账户留置权
BQ - AccountSweep：账户清零
BQ - DepositsandWithdrawals：存取款
BQ - Payments：付款
BQ - IssuedDevice：已发行设备
CR - CustodyFacility：保管设施
BQ - SafeKeeping：保管
BQ - Fees：费用
BQ - SecuritiesReporting：证券报告
BQ - Settlement：结算
BQ - DividendsandInterest：股息和利息
CR - CustomerAccessProfileAgreement：客户访问配置协议
BQ - Restrictions：限制
BQ - Preferences：偏好
CR - CustomerAgreement：客户协议
BQ - LegalTerms：法律条款
BQ - RegulatoryTerms：监管条款
BQ - PolicyTerms：政策条款
CR - CustomerBehaviorAnalysis
BQ - Insight
CR - CustomerBehaviorModelSpecification
BQ - FunctionalRequirements
BQ - Testing
BQ - Production
CR - CustomerBillingProcedure
BQ - Invoicing
BQ - TrackingandReminders
BQ - Payments
CR - CustomerCampaignSpecification
CR - CustomerCampaignProcedure
BQ - CandidateSelection
BQ - Execution
BQ - AnalysisFeedback
CR - CustomerCampaignPortfolioManagementPlan
BQ - MarketTracking
BQ - PerformanceAssessment
BQ - CampaignDirection
CR - CustomerCaseProcedure
BQ - Analysis
BQ - Determination
BQ - Resolution
CR - CustomerCaseManagementPlan
BQ - Rules
BQ - Performance
CR - CustomerCreditRatingState
BQ - Alerts
BQ - InternalReporting
BQ - ExternalReporting
CR - CustomerEventLog
BQ - Relationship
BQ - Sales
BQ - Servicing
BQ - ProductProcessing
BQ - Fraud
BQ - Life
CR - CustomerOfferProcedure
BQ - FacilityApplication
BQ - Disclosures
BQ - Credit
BQ - Underwriting
BQ - Compliance
BQ - Audit
BQ - Collateral
BQ - Booking
BQ - CorrespondenceandDocuments
BQ - Agreement
BQ - ProductInitialization
CR - CustomerSegmentAnalysis
BQ - PerformanceAnalysis
CR - CustomerPositionState
BQ - Cashflow
BQ - Credit
BQ - Collateral
CR - CustomerEligibilityAssessment
BQ - EligibilityCheck
BQ - NextBest
CR - CustomerProductsAndServicesDirectoryEntry
BQ - In-forceProductproperty
BQ - In-forceServiceproperty
CR - CustomerPropositionAgreement
BQ - BankDefinedProductandServiceTerm
BQ - CustomerDefinedProductandServiceTerm
CR - CustomerRelationshipManagementPlan
BQ - Development
BQ - Incident
BQ - Contact
CR - CustomerSurveyProcedure
BQ - Definition
BQ - ReviewerSelection
BQ - Execution
BQ - SurveyAnalysis
CR - CustomerTaxObligationFacility
BQ - Consolidation
BQ - Analysis
BQ - Reporting
CR - CustomerWorkbenchOperatingSession
BQ - SWUpdate
BQ - Broadcast
BQ - Browsing
BQ - Contact
BQ - ProductandServiceAccess
CR - DealerDeskOperatingSession
BQ - DealerDeskConsolidatedPositionTrackingFunction
BQ - DealerDeskTradingAssignmentandLimitsFunction
BQ - InformationFeedAdministrationFunction
CR - DelinquentAccountProcedure
BQ - Assessment
BQ - Contact
BQ - Payment
BQ - Resolution
CR - DirectDebitFacility
BQ - PaymentTracking
BQ - FundsAvailableCheck
BQ - PaymentInitiation
BQ - VerifyMandate
BQ - Reporting
CR - DirectDebitMandateDirectoryEntry
BQ - MandateRegistration
CR - DisbursementTransaction
CR - DocumentDirectoryEntry
BQ - DocumentAmendmentProperties
BQ - DocumentArchivingProperties
BQ - DocumentReferenceProperties
BQ - DocumentUpdateHistoryProperties
BQ - DocumentVerificationProperties
BQ - DocumentVersionProperties
CR - DocumentServiceProcedure
CR - ECMAndDCMFacility
BQ - InstrumentDefinition
BQ - Prospectus
BQ - Placement
CR - EnterpriseArchitectureSpecification
BQ - ApplicationArchitecture
BQ - BusinessArchitecture
BQ - InformationArchitecture
BQ - Organization
BQ - TechnologyInfrastructure
CR - FactoringFacility
BQ - AccountReceivableFactoringFulfillment
BQ - AccountReceivableProcessingFulfillment
BQ - AccountsReceivableEvaluationFulfillment
BQ - AccountsReceivablePurchaseFulfillment
CR - FiduciaryRelationshipFacility
BQ - Agreement
BQ - Fees
BQ - Fulfillment
BQ - AssessmentandReporting
CR - FinancialBookingLog
BQ - LedgerPosting
CR - FinancialGatewayOperatingSession
BQ - Inbound
BQ - Outbound
CR - FinancialInstrumentDirectoryEntry
BQ - DebtInstrumentproperty
BQ - EquityInstrumentproperty
BQ - FuturesInstrumentproperty
BQ - OptionInstrumentproperty
BQ - WarrantInstrumentproperty
CR - MarketAssetValuationProcedure
BQ - AssetValuationApproachSelectionWorkstep
BQ - AssetValuationInformationConsolidationWorkstep
BQ - AssetValuationWorkstep
CR - FinancialMarketAnalysis
BQ - FinancialMarketInsight
CR - FinancialMarketResearchDirectoryEntry
CR - FinancialStatementAssessment
BQ - AssetandLiabilityValuationTest
BQ - LiquidityandCashFlowTest
BQ - RiskTest
BQ - SensitivityTest
CR - FraudDiagnosisAnalysis
BQ - CustomerBehavior
BQ - EconomicModel
BQ - AnalystReview
CR - FraudEvaluationAssessment
BQ - RuleSetsandDecisionTrees
BQ - Models
CR - FraudModelSpecification
BQ - FunctionalRequirements
BQ - Testing
BQ - Production
CR - FraudResolutionProcedure
BQ - CaseAnalysis
BQ - CaseDetermination
BQ - CaseResolution
CR - GuidelineComplianceAssessment
CR - HedgeFundAdministrativePlan
BQ - FundAccountingRoutine
BQ - FundDevelopmentRoutine
BQ - FundEnrolmentCertificationRoutine
BQ - FundFinancialReportingRoutine
BQ - FundInflowsandOutflowRoutine
BQ - FundInvestor_MiddleandBackOfficeServiceRoutine
BQ - FundManagementRoutine
BQ - FundPerformanceFeeRoutine
BQ - FundTaxAdministrationRoutine
CR - TechnologyStandardsSpecification
BQ - DevelopmentToolingandEnvironment
BQ - ITPoliciesandGuidelines
BQ - ProductTestingandDeploymentMechanisms
BQ - ProductionEnvironmentandSupportServices
BQ - ProductionPlatformsandInfrastructure
CR - InformationFeedOperatingSession
CR - IntellectualPropertyAdministrativePlan
BQ - Maintenance
BQ - Assignment
BQ - HelpServiceSelection
CR - BankRelationshipManagementPlan
BQ - Contact
CR - InternalAuditAssessment
BQ - Audit
CR - InternalBankAccountLog
CR - InvestmentAccountFacility
BQ - DepositsandWithdrawals
BQ - CorporateAction
BQ - ServiceFees
CR - ManagedInvestmentPortfolioAnalysis
BQ - PerformanceAnalysis
CR - ManagedInvestmentPortfolioFacility
BQ - Track
BQ - MarketOpportunities
BQ - TradeInitiation
CR - ManagedInvestmentPortfolioAgreement
BQ - InvestmentTerms
CR - IssuedDeviceAllocation
BQ - PasswordAssignment
BQ - QuestionAssignment
BQ - DeviceAssignment
BQ - BiometricAssignment
BQ - ReaderAssignment
BQ - ChequesAssignment
BQ - TokenAssignment
CR - IssuedDeviceState
BQ - InternalNotification
BQ - ExternalReport
CR - IntellectualPropertyExchangeOperatingSession
BQ - CaptureandClassification
BQ - IndexingandPublication
BQ - Review_RefinementandEditing
BQ - Archiving
BQ - MaintenanceandAccessAdministration
CR - LeadandOpportunityProcedure
BQ - Development
CR - LeasingFacility
BQ - Fees
BQ - Lien
BQ - Payments
BQ - Sweep
BQ - Collateral
BQ - CorporateAction
BQ - Deposits
BQ - FinancialInstrument
BQ - IssuedDevice
BQ - Withdrawals
BQ - Interest
CR - LeasingItemAdministrativePlan
BQ - Assurance
BQ - Registration
BQ - Valuation
CR - LegalComplianceAssessment
CR - LegalEntityDirectoryEntry
BQ - Reference
BQ - Profile
BQ - Associations
CR - LetterOfCreditTransaction
BQ - CustomerCollateralAllocationTask
BQ - CustomerPaymentTask
BQ - LetterofCreditDefinitionandPricingTask
BQ - LetterofCreditIssuanceandBookingTask
BQ - LetterofCreditPayoutTask
BQ - SellerObligationConfirmationTask
CR - LoanFacility
BQ - Interest
BQ - ServiceFees
BQ - Disbursement
BQ - Maintenance
BQ - Withdrawal
BQ - Repayment
BQ - Restructuring
CR - LocationDirectoryEntry
BQ - Location
BQ - Use
BQ - Occupancy
CR - ManagementManualSpecification
BQ - CompanyMissionandPolicies
BQ - EmploymentRelatedProceduresandGuidelines
BQ - LegalandRegulatoryObligationsandGuidelines
BQ - OperationalSecurityProceduresandGuidelines
BQ - OperationalandProductionProceduresandGuidelines
BQ - StaffManagementProceduresandGuidelines
CR - GeneralMarketResearchAnalysis
CR - InformationFeedSwitchOperatingSession
BQ - FeedUpload
BQ - InternalPublication
BQ - Distribution
CR - FinancialMarketInformationAdministrativePlan
BQ - Consolidation
BQ - Improvement
BQ - Reporting
CR - MarketMakingFacility
BQ - MarketMakingBuyandSellOrderFulfillment
BQ - MarketMakingQuoteFulfillment
BQ - MarketMakingSecurityTradedPositionFulfillment
CR - MarketOrderTransaction
BQ - Compliance
BQ - FundingCheck
BQ - CustomerProcessing
BQ - TradeInitiation
CR - MarketTradeTransaction
BQ - Quote
BQ - TradeInitiation
BQ - Position
CR - GeneralMarketResearchDirectoryEntry
CR - MerchandisingLoanFacility
BQ - Billing
BQ - ServiceFees
BQ - Lien
BQ - Payments
BQ - Sweep
BQ - Collateral
BQ - Deposits
BQ - FinancialInstrument
BQ - IssuedDevice
BQ - Withdrawals
BQ - FinancialAccounting
BQ - Interest
CR - MerchantAcquiringFacility
BQ - MerchantAccount
BQ - Clearing
BQ - Chargeback
BQ - Settlement
BQ - ServiceFees
CR - MerchantRelationshipAgreement
BQ - LegalTerm
BQ - OperationalTerm
BQ - RegulatoryTerm
CR - MergersAndAcquisitionAdvice
BQ - M&ACandidateSelectionandEvaluationTopic
CR - MortgageLoanFacility
BQ - Billing
BQ - Fees
BQ - Lien
BQ - Payments
BQ - Sweep
BQ - Collateral
BQ - Deposits
BQ - FinancialInstrument
BQ - IssuedDevice
BQ - Withdrawals
BQ - FinancialAccounting
BQ - Interest
CR - MutualFundAdministrativePlan
BQ - FundAccountingRoutine
BQ - FundDevelopmentRoutine
BQ - FundEnrolmentRoutine
BQ - FundFinancialReportingRoutine
BQ - FundInflowsandOutflowRoutine
BQ - FundInvestor_MiddleandBackOfficeServiceRoutine
BQ - FundManagementFeeRoutine
BQ - FundTaxAdministrationRoutine
CR - NotionalPoolingFacility
BQ - NotionalAccountArrangementFulfillment
BQ - NotionalAccountConsolidatedPositionFulfillment
BQ - NotionalAccountInterestAllocationFulfillment
CR - OpenItemProcedure
BQ - Tracking
BQ - Repayment
CR - OperationalGatewayOperatingSession
BQ - InboundMessageFunction
BQ - OutboundMessageFunction
BQ - OutboundWithResponseFunction
CR - SecuritiesAllocationProcedure
BQ - ApplyOrderAllocationRulesWorkstep
BQ - Update(PartiallyCompleted)MarketOrderWorkstep
CR - PartyAuthenticationAssessment
BQ - Password
BQ - Question
BQ - Document
BQ - Device
BQ - Biometric
BQ - Behavior
CR - PartyRelationshipProcedure
BQ - Authentication
BQ - Qualification
BQ - Documentation
BQ - Precedents
CR - PartyReferenceDataDirectoryEntry
BQ - Reference
BQ - Associations
BQ - Demographics
BQ - BankRelations
CR - PartyState
BQ - Status
BQ - Rating
BQ - Alert
CR - PaymentExecutionProcedure
BQ - PaymentMechanism
BQ - PaymentExecutionWorkstep
CR - PaymentInitiationTransaction
BQ - Compliance
BQ - FundingCheck
BQ - OrderInitiation
CR - PaymentInstructionProcedure
BQ - AgreementConfirmationWorkstep
BQ - ComplianceCheckWorkstep
BQ - PaymentInstructionWorkstep
CR - PaymentOrderProcedure
BQ - OrderConfirmation
BQ - ExecutionInitiation
CR - PaymentRailOperatingSession
BQ - InboundTransactionFunction
BQ - OutboundTransactionFunction
BQ - PaymentAccountReconciliationFunction
BQ - PaymentClearingandSettlementFunction
CR - PointofServiceOperatingSession
BQ - Assisted
BQ - Automated
BQ - Interaction
BQ - Inventory
BQ - CashPosition
CR - FinancialPositionLog
BQ - FinancialTransactionCapture
CR - FinancialPositionState
BQ - TrialTransaction
BQ - TransactionApplication
CR - PrivatePlacementFacility
BQ - PrivatePlacementFulfillment
BQ - PrivatePlacementInstrumentMaintenanceFulfillment
BQ - PrivatePlacementInstrumentSpecificationFulfillment
CR - BrokerAgreement
BQ - LegalTerms
BQ - RegulatoryTerms
BQ - PolicyTerms
CR - ProductCombinationFacility
BQ - Fulfillment
BQ - TransferPricing
BQ - EmbeddedProductControl
CR - ProductandServiceDeploymentDevelopment
BQ - Systems
BQ - ITOperations
BQ - HROperations
BQ - SalesandMarketing
BQ - Servicing
BQ - Production
BQ - ProductionSupport
CR - ProductorServiceSpecification
BQ - FunctionalRequirements
BQ - Testing
BQ - Production
CR - ProductDirectoryEntry
BQ - Operations
BQ - SalesandMarketing
BQ - Servicing
BQ - Production
CR - SalesSpecialistSupportAdministrativePlan
BQ - Assignment
